location,year,price
Alabama,2014,989.3333333333334
Alabama,2015,995.0555555555555
Alabama,2016,1003.0833333333334
Alabama,2017,1027.611111111111
Alaska,2014,1705.861111111111
Alaska,2015,1706.1944444444443
Alaska,2016,1668.4166666666667
Alaska,2017,1642.0
Arizona,2014,1251.0555555555557
Arizona,2015,1298.9166666666667
Arizona,2016,1343.9166666666667
Arizona,2017,1399.6944444444443
Arkansas,2014,913.7222222222222
Arkansas,2015,921.5555555555555
Arkansas,2016,928.0
Arkansas,2017,942.3055555555555
California,2014,2079.0555555555557
California,2015,2206.6666666666665
California,2016,2308.722222222222
California,2017,2402.277777777778
Colorado,2014,1509.5833333333333
Colorado,2015,1629.111111111111
Colorado,2016,1703.6666666666667
Colorado,2017,1754.7222222222222
Connecticut,2014,1597.9166666666667
Connecticut,2015,1627.0833333333333
Connecticut,2016,1651.888888888889
Connecticut,2017,1671.5833333333333
Delaware,2014,1385.888888888889
Delaware,2015,1415.4166666666667
Delaware,2016,1461.25
Delaware,2017,1496.111111111111
District of Columbia,2014,2143.3055555555557
District of Columbia,2015,2153.6944444444443
District of Columbia,2016,2221.9166666666665
District of Columbia,2017,2223.722222222222
Florida,2014,1402.25
Florida,2015,1469.5833333333333
Florida,2016,1513.4722222222222
Florida,2017,1558.138888888889
Georgia,2014,1144.8055555555557
Georgia,2015,1208.111111111111
Georgia,2016,1263.388888888889
Georgia,2017,1309.0
Hawaii,2014,2446.722222222222
Hawaii,2015,2539.9444444444443
Hawaii,2016,2673.3055555555557
Hawaii,2017,2697.0555555555557
Idaho,2014,1020.4166666666666
Idaho,2015,1044.5833333333333
Idaho,2016,1066.1944444444443
Idaho,2017,1113.138888888889
Illinois,2014,1301.361111111111
Illinois,2015,1334.4722222222222
Illinois,2016,1353.7777777777778
Illinois,2017,1378.638888888889
Indiana,2014,986.1111111111111
Indiana,2015,989.4166666666666
Indiana,2016,1003.6666666666666
Indiana,2017,1022.3611111111111
Iowa,2014,954.6666666666666
Iowa,2015,968.4722222222222
Iowa,2016,983.4166666666666
Iowa,2017,994.7777777777778
Kansas,2014,1031.0833333333333
Kansas,2015,1050.6666666666667
Kansas,2016,1068.8333333333333
Kansas,2017,1089.6666666666667
Kentucky,2014,936.0
Kentucky,2015,957.9166666666666
Kentucky,2016,983.2777777777778
Kentucky,2017,1008.7222222222222
Louisiana,2014,1050.75
Louisiana,2015,1058.5
Louisiana,2016,1053.361111111111
Louisiana,2017,1073.861111111111
Maine,2014,1137.0277777777778
Maine,2015,1163.0555555555557
Maine,2016,1195.861111111111
Maine,2017,1226.638888888889
Maryland,2014,1798.8055555555557
Maryland,2015,1845.9444444444443
Maryland,2016,1886.9166666666667
Maryland,2017,1915.0833333333333
Massachusetts,2014,1748.7777777777778
Massachusetts,2015,1803.2777777777778
Massachusetts,2016,1864.8333333333333
Massachusetts,2017,1916.388888888889
Michigan,2014,1070.25
Michigan,2015,1091.2222222222222
Michigan,2016,1120.4166666666667
Michigan,2017,1148.75
Minnesota,2014,1273.0833333333333
Minnesota,2015,1312.0
Minnesota,2016,1355.6666666666667
Minnesota,2017,1403.6944444444443
Mississippi,2014,965.2777777777778
Mississippi,2015,979.6111111111111
Mississippi,2016,990.9444444444445
Mississippi,2017,1004.7777777777778
Missouri,2014,1036.0555555555557
Missouri,2015,1057.0555555555557
Missouri,2016,1081.611111111111
Missouri,2017,1096.861111111111
Montana,2014,1022.4166666666666
Montana,2015,1024.4166666666667
Montana,2016,1027.9166666666667
Montana,2017,1053.7777777777778
Nebraska,2014,1004.8055555555555
Nebraska,2015,1023.6666666666666
Nebraska,2016,1042.6944444444443
Nebraska,2017,1060.111111111111
Nevada,2014,1312.111111111111
Nevada,2015,1352.388888888889
Nevada,2016,1404.9166666666667
Nevada,2017,1471.6666666666667
New Hampshire,2014,1436.1666666666667
New Hampshire,2015,1493.9166666666667
New Hampshire,2016,1567.8333333333333
New Hampshire,2017,1606.388888888889
New Jersey,2014,1765.2777777777778
New Jersey,2015,1818.638888888889
New Jersey,2016,1866.8055555555557
New Jersey,2017,1907.7222222222222
New Mexico,2014,1049.8333333333333
New Mexico,2015,1052.0833333333333
New Mexico,2016,1066.611111111111
New Mexico,2017,1091.361111111111
New York,2014,1775.9444444444443
New York,2015,1812.75
New York,2016,1827.5833333333333
New York,2017,1856.4444444444443
North Carolina,2014,1077.638888888889
North Carolina,2015,1102.9722222222222
North Carolina,2016,1128.3055555555557
North Carolina,2017,1168.5555555555557
North Dakota,2014,1145.4166666666667
North Dakota,2015,1112.361111111111
North Dakota,2016,1048.0555555555557
North Dakota,2017,1052.7222222222222
Ohio,2014,986.3611111111111
Ohio,2015,1007.8611111111111
Ohio,2016,1032.9166666666667
Ohio,2017,1061.138888888889
Oklahoma,2014,982.5833333333334
Oklahoma,2015,996.7777777777778
Oklahoma,2016,1000.1388888888889
Oklahoma,2017,1006.1388888888889
Oregon,2014,1423.9722222222222
Oregon,2015,1529.0
Oregon,2016,1647.0555555555557
Oregon,2017,1702.1944444444443
Pennsylvania,2014,1164.638888888889
Pennsylvania,2015,1182.388888888889
Pennsylvania,2016,1205.6944444444443
Pennsylvania,2017,1231.111111111111
Rhode Island,2014,1313.361111111111
Rhode Island,2015,1375.9166666666667
Rhode Island,2016,1415.0
Rhode Island,2017,1461.6666666666667
South Carolina,2014,1078.6944444444443
South Carolina,2015,1123.361111111111
South Carolina,2016,1164.888888888889
South Carolina,2017,1193.7777777777778
South Dakota,2014,942.6388888888889
South Dakota,2015,924.6388888888889
South Dakota,2016,921.7222222222222
South Dakota,2017,935.9166666666666
Tennessee,2014,1016.1388888888889
Tennessee,2015,1042.8333333333333
Tennessee,2016,1070.138888888889
Tennessee,2017,1096.2777777777778
Texas,2014,1271.0
Texas,2015,1316.8333333333333
Texas,2016,1353.4722222222222
Texas,2017,1373.111111111111
Utah,2014,1178.611111111111
Utah,2015,1206.361111111111
Utah,2016,1254.0833333333333
Utah,2017,1306.111111111111
Vermont,2014,1421.6666666666667
Vermont,2015,1498.1666666666667
Vermont,2016,1516.7878787878788
Vermont,2017,1513.5
Virginia,2014,1534.3055555555557
Virginia,2015,1556.25
Virginia,2016,1591.6944444444443
Virginia,2017,1614.5
Washington,2014,1641.638888888889
Washington,2015,1745.6944444444443
Washington,2016,1876.7777777777778
Washington,2017,1969.388888888889
West Virginia,2014,940.3888888888889
West Virginia,2015,947.9166666666666
West Virginia,2016,938.6111111111111
West Virginia,2017,938.1111111111111
Wisconsin,2014,1028.4166666666667
Wisconsin,2015,1046.75
Wisconsin,2016,1062.861111111111
Wisconsin,2017,1082.0277777777778
Wyoming,2014,1057.5
Wyoming,2015,1065.8333333333333
Wyoming,2016,1041.2222222222222
Wyoming,2017,1035.2777777777778
