state,state_name,year,total,chronic,sh_chronic,uns_chronic,non_chronic,sh_chronic_ind,uns_chronic_ind,sh_chronic_fam,uns_chronic_fam
AL,Alabama,2010,6046.0,1043.0,502.0,541.0,5003.0,911.0,178.0,,
AR,Arkansas ,2010,2762.0,395.0,145.0,250.0,2367.0,247.0,115.0,,
AZ,Arizona ,2010,13711.0,1935.0,544.0,1391.0,11776.0,1052.0,1178.0,,
CA,California ,2010,123480.0,31235.0,6964.0,24271.0,92245.0,6600.0,11004.0,,
CO,Colorado ,2010,15482.0,1432.0,510.0,922.0,14050.0,853.0,463.0,,
CT,Connecticut ,2010,4316.0,777.0,595.0,182.0,3539.0,423.0,60.0,,
DC,Washington DC,2010,6539.0,2110.0,1723.0,387.0,4429.0,563.0,16.0,,
DE,Delaware ,2010,982.0,97.0,71.0,26.0,885.0,69.0,5.0,,
FL,Florida ,2010,57551.0,9232.0,3700.0,5532.0,48319.0,2818.0,4976.0,,
GA,Georgia ,2010,19836.0,3635.0,1495.0,2140.0,16201.0,1372.0,1394.0,,
HI,Hawaii ,2010,5834.0,801.0,96.0,705.0,5033.0,176.0,243.0,,
IA,Iowa ,2010,3014.0,249.0,182.0,67.0,2765.0,207.0,14.0,,
ID,Idaho ,2010,2346.0,111.0,37.0,74.0,2235.0,128.0,111.0,,
IL,Illinois ,2010,14395.0,2130.0,1435.0,695.0,12265.0,886.0,247.0,,
IN,Indiana ,2010,6452.0,775.0,478.0,297.0,5677.0,633.0,134.0,,
KS,Kansas ,2010,2024.0,191.0,149.0,42.0,1833.0,660.0,51.0,,
KY,Kentucky ,2010,6623.0,695.0,404.0,291.0,5928.0,534.0,85.0,,
LA,Louisiana ,2010,12482.0,4815.0,226.0,4589.0,7667.0,502.0,1513.0,,
MA,Massachusetts ,2010,16646.0,2007.0,1502.0,505.0,14639.0,1449.0,148.0,,
MD,Maryland ,2010,10845.0,2179.0,1231.0,948.0,8666.0,646.0,264.0,,
ME,Maine ,2010,2379.0,226.0,221.0,5.0,2153.0,105.0,3.0,,
MI,Michigan ,2010,13058.0,1824.0,1309.0,515.0,11234.0,785.0,179.0,,
MN,Minnesota ,2010,7869.0,1490.0,1149.0,341.0,6379.0,553.0,91.0,,
MO,Missouri ,2010,8122.0,1287.0,977.0,310.0,6835.0,629.0,130.0,,
MS,Mississippi ,2010,2743.0,357.0,130.0,227.0,2386.0,215.0,124.0,,
MT,Montana ,2010,1615.0,145.0,96.0,49.0,1470.0,156.0,106.0,,
NC,North Carolina ,2010,12191.0,1479.0,1077.0,402.0,10712.0,907.0,177.0,,
ND,North Dakota ,2010,799.0,64.0,61.0,3.0,735.0,114.0,5.0,,
NE,Nebraska ,2010,3877.0,535.0,416.0,119.0,3342.0,243.0,62.0,,
NH,New Hampshire ,2010,1574.0,326.0,280.0,46.0,1248.0,143.0,30.0,,
NJ,New Jersey ,2010,13737.0,877.0,617.0,260.0,12860.0,488.0,79.0,,
NM,New Mexico ,2010,3475.0,779.0,341.0,438.0,2696.0,259.0,182.0,,
NV,Nevada ,2010,11205.0,1415.0,253.0,1162.0,9790.0,1230.0,613.0,,
NY,New York ,2010,65606.0,4259.0,1905.0,2354.0,61347.0,5046.0,811.0,,
OH,Ohio ,2010,12569.0,2240.0,1676.0,564.0,10329.0,1293.0,234.0,,
OK,Oklahoma ,2010,5229.0,620.0,395.0,225.0,4609.0,350.0,124.0,,
OR,Oregon ,2010,19492.0,2601.0,683.0,1918.0,16891.0,573.0,712.0,,
PA,Pennsylvania ,2010,14516.0,1524.0,868.0,656.0,12992.0,1274.0,167.0,,
RI,Rhode Island ,2010,1282.0,86.0,60.0,26.0,1196.0,87.0,4.0,,
SC,South Carolina ,2010,4473.0,674.0,392.0,282.0,3799.0,497.0,190.0,,
SD,South Dakota ,2010,731.0,109.0,45.0,64.0,622.0,118.0,17.0,,
TN,Tennessee ,2010,10276.0,2495.0,1496.0,999.0,7781.0,1075.0,604.0,,
TX,Texas ,2010,35121.0,6512.0,2577.0,3935.0,28609.0,2688.0,2445.0,,
UT,Utah ,2010,3284.0,406.0,125.0,281.0,2878.0,301.0,41.0,,
VA,Virginia ,2010,9080.0,1510.0,983.0,527.0,7570.0,830.0,165.0,,
VT,Vermont ,2010,1220.0,133.0,85.0,48.0,1087.0,104.0,13.0,,
WA,Washington ,2010,22878.0,2106.0,1281.0,825.0,20772.0,1282.0,761.0,,
WI,Wisconsin ,2010,6333.0,727.0,608.0,119.0,5606.0,581.0,28.0,,
WV,West Virginia ,2010,2264.0,516.0,358.0,158.0,1748.0,393.0,183.0,,
WY,Wyoming ,2010,579.0,101.0,52.0,49.0,478.0,71.0,14.0,,
AK,Alaska ,2009,1992.0,323.0,245.0,78.0,1669.0,222.0,37.0,,
AL,Alabama,2009,6080.0,1189.0,652.0,537.0,4891.0,858.0,205.0,,
AR,Arkansas ,2009,2852.0,406.0,146.0,260.0,2446.0,168.0,82.0,,
AZ,Arizona ,2009,14721.0,2229.0,538.0,1691.0,12492.0,1216.0,1127.0,,
CA,California ,2009,123678.0,31412.0,7001.0,24411.0,92266.0,6799.0,11174.0,,
CO,Colorado ,2009,15268.0,1286.0,510.0,776.0,13982.0,964.0,507.0,,
CT,Connecticut ,2009,4605.0,824.0,640.0,184.0,3781.0,401.0,61.0,,
DC,Washington DC,2009,6228.0,1923.0,1632.0,291.0,4305.0,613.0,29.0,,
DE,Delaware ,2009,1130.0,167.0,150.0,17.0,963.0,91.0,9.0,,
FL,Florida ,2009,55599.0,9062.0,3493.0,5569.0,46537.0,2907.0,4228.0,,
GA,Georgia ,2009,20360.0,3771.0,1620.0,2151.0,16589.0,1373.0,1387.0,,
HI,Hawaii ,2009,5782.0,772.0,124.0,648.0,5010.0,234.0,265.0,,
IA,Iowa ,2009,3380.0,306.0,238.0,68.0,3074.0,247.0,23.0,,
ID,Idaho ,2009,1939.0,210.0,157.0,53.0,1729.0,194.0,76.0,,
IL,Illinois ,2009,14055.0,2212.0,1564.0,648.0,11843.0,801.0,227.0,,
IN,Indiana ,2009,6984.0,765.0,505.0,260.0,6219.0,586.0,154.0,,
KS,Kansas ,2009,1892.0,238.0,196.0,42.0,1654.0,578.0,60.0,,
KY,Kentucky ,2009,5999.0,671.0,491.0,180.0,5328.0,597.0,78.0,,
LA,Louisiana ,2009,12504.0,4815.0,226.0,4589.0,7689.0,441.0,1544.0,,
MA,Massachusetts ,2009,15482.0,1937.0,1490.0,447.0,13545.0,1709.0,181.0,,
MD,Maryland ,2009,11698.0,2062.0,1243.0,819.0,9636.0,698.0,234.0,,
ME,Maine ,2009,2444.0,186.0,178.0,8.0,2258.0,119.0,4.0,,
MI,Michigan ,2009,14005.0,1649.0,1171.0,478.0,12356.0,877.0,177.0,,
MN,Minnesota ,2009,7718.0,1449.0,1129.0,320.0,6269.0,441.0,84.0,,
MO,Missouri ,2009,6959.0,892.0,691.0,201.0,6067.0,569.0,130.0,,
MS,Mississippi ,2009,2797.0,522.0,152.0,370.0,2275.0,197.0,161.0,,
MT,Montana ,2009,1196.0,160.0,107.0,53.0,1036.0,128.0,78.0,,
NC,North Carolina ,2009,12918.0,1490.0,1107.0,383.0,11428.0,854.0,264.0,,
ND,North Dakota ,2009,773.0,70.0,66.0,4.0,703.0,166.0,2.0,,
NE,Nebraska ,2009,3718.0,495.0,413.0,82.0,3223.0,263.0,35.0,,
NH,New Hampshire ,2009,1645.0,330.0,285.0,45.0,1315.0,150.0,17.0,,
NJ,New Jersey ,2009,13169.0,934.0,704.0,230.0,12235.0,542.0,76.0,,
NM,New Mexico ,2009,3475.0,779.0,341.0,438.0,2696.0,226.0,182.0,,
NV,Nevada ,2009,11089.0,1297.0,196.0,1101.0,9792.0,1329.0,607.0,,
NY,New York ,2009,61067.0,4280.0,2272.0,2008.0,56787.0,5047.0,832.0,,
OH,Ohio ,2009,12700.0,2303.0,1838.0,465.0,10397.0,1185.0,205.0,,
OK,Oklahoma ,2009,4838.0,654.0,538.0,116.0,4184.0,416.0,59.0,,
OR,Oregon ,2009,17309.0,2842.0,919.0,1923.0,14467.0,672.0,605.0,,
PA,Pennsylvania ,2009,15096.0,1798.0,1027.0,771.0,13298.0,1282.0,158.0,,
RI,Rhode Island ,2009,1607.0,220.0,190.0,30.0,1387.0,113.0,7.0,,
SC,South Carolina ,2009,4473.0,674.0,392.0,282.0,3799.0,439.0,190.0,,
SD,South Dakota ,2009,731.0,109.0,45.0,64.0,622.0,138.0,22.0,,
TN,Tennessee ,2009,10532.0,2632.0,1498.0,1134.0,7900.0,839.0,303.0,,
TX,Texas ,2009,36761.0,6020.0,2741.0,3279.0,30741.0,2735.0,2756.0,,
UT,Utah ,2009,3795.0,700.0,445.0,255.0,3095.0,110.0,56.0,,
VA,Virginia ,2009,8852.0,1621.0,1034.0,587.0,7231.0,782.0,178.0,,
VT,Vermont ,2009,1214.0,134.0,79.0,55.0,1080.0,52.0,9.0,,
WA,Washington ,2009,22782.0,2609.0,1608.0,1001.0,20173.0,1168.0,795.0,,
WI,Wisconsin ,2009,6525.0,716.0,612.0,104.0,5809.0,575.0,33.0,,
WV,West Virginia ,2009,1667.0,337.0,239.0,98.0,1330.0,177.0,94.0,,
WY,Wyoming ,2009,515.0,79.0,30.0,49.0,436.0,95.0,22.0,,
AK,Alaska ,2008,1646.0,439.0,355.0,84.0,1207.0,189.0,29.0,,
AL,Alabama,2008,5387.0,1052.0,579.0,473.0,4335.0,677.0,124.0,,
AR,Arkansas ,2008,3255.0,893.0,492.0,401.0,2362.0,219.0,16.0,,
AZ,Arizona ,2008,12488.0,3097.0,1223.0,1874.0,9391.0,736.0,0.0,,
CA,California ,2008,136531.0,40254.0,6206.0,34048.0,96277.0,5735.0,11541.0,,
CO,Colorado ,2008,14747.0,1082.0,449.0,633.0,13665.0,915.0,693.0,,
CT,Connecticut ,2008,4627.0,875.0,578.0,297.0,3752.0,401.0,123.0,,
DC,Washington DC,2008,6044.0,2184.0,1840.0,344.0,3860.0,641.0,26.0,,
DE,Delaware ,2008,933.0,248.0,221.0,27.0,685.0,108.0,19.0,,
FL,Florida ,2008,50158.0,8578.0,2555.0,6023.0,41580.0,2691.0,3089.0,,
GA,Georgia ,2008,19095.0,2671.0,1037.0,1634.0,16424.0,1921.0,1415.0,,
HI,Hawaii ,2008,6061.0,778.0,132.0,646.0,5283.0,223.0,0.0,,
IA,Iowa ,2008,3346.0,277.0,225.0,52.0,3069.0,271.0,13.0,,
ID,Idaho ,2008,1464.0,46.0,11.0,35.0,1418.0,78.0,53.0,,
IL,Illinois ,2008,14724.0,2557.0,1436.0,1121.0,12167.0,839.0,447.0,,
IN,Indiana ,2008,7395.0,696.0,249.0,447.0,6699.0,455.0,80.0,,
KS,Kansas ,2008,1738.0,177.0,132.0,45.0,1561.0,295.0,18.0,,
KY,Kentucky ,2008,8137.0,642.0,380.0,262.0,7495.0,944.0,102.0,,
LA,Louisiana ,2008,5481.0,613.0,177.0,436.0,4868.0,305.0,127.0,,
MA,Massachusetts ,2008,14506.0,2352.0,1830.0,522.0,12154.0,1262.0,40.0,,
MD,Maryland ,2008,9219.0,1489.0,729.0,760.0,7730.0,499.0,42.0,,
ME,Maine ,2008,2632.0,132.0,123.0,9.0,2500.0,89.0,0.0,,
MI,Michigan ,2008,28248.0,2771.0,1084.0,1687.0,25477.0,715.0,117.0,,
MN,Minnesota ,2008,7644.0,1537.0,1052.0,485.0,6107.0,477.0,118.0,,
MO,Missouri ,2008,7687.0,1226.0,903.0,323.0,6461.0,312.0,65.0,,
MS,Mississippi ,2008,1961.0,877.0,417.0,460.0,1084.0,194.0,3.0,,
MT,Montana ,2008,1417.0,138.0,46.0,92.0,1279.0,138.0,109.0,,
NC,North Carolina ,2008,12411.0,1827.0,964.0,863.0,10584.0,724.0,372.0,,
ND,North Dakota ,2008,615.0,51.0,50.0,1.0,564.0,75.0,3.0,,
NE,Nebraska ,2008,3985.0,707.0,627.0,80.0,3278.0,123.0,21.0,,
NH,New Hampshire ,2008,2019.0,437.0,297.0,140.0,1582.0,115.0,93.0,,
NJ,New Jersey ,2008,13832.0,1269.0,968.0,301.0,12563.0,648.0,199.0,,
NM,New Mexico ,2008,3015.0,711.0,245.0,466.0,2304.0,163.0,0.0,,
NV,Nevada ,2008,8726.0,954.0,224.0,730.0,7772.0,912.0,720.0,,
NY,New York ,2008,61125.0,5089.0,2071.0,3018.0,56036.0,4230.0,4.0,,
OH,Ohio ,2008,12912.0,2252.0,1673.0,579.0,10660.0,964.0,69.0,,
OK,Oklahoma ,2008,3846.0,561.0,331.0,230.0,3285.0,299.0,55.0,,
OR,Oregon ,2008,20653.0,3346.0,1502.0,1844.0,17307.0,523.0,244.0,,
PA,Pennsylvania ,2008,15378.0,1622.0,859.0,763.0,13756.0,971.0,130.0,,
RI,Rhode Island ,2008,1196.0,245.0,208.0,37.0,951.0,87.0,12.0,,
SC,South Carolina ,2008,5660.0,743.0,398.0,345.0,4917.0,350.0,125.0,,
SD,South Dakota ,2008,579.0,104.0,79.0,25.0,475.0,106.0,2.0,,
TN,Tennessee ,2008,9705.0,3364.0,1438.0,1926.0,6341.0,672.0,231.0,,
TX,Texas ,2008,40190.0,8844.0,3656.0,5188.0,31346.0,3428.0,2554.0,,
UT,Utah ,2008,3434.0,702.0,446.0,256.0,2732.0,199.0,19.0,,
VA,Virginia ,2008,8469.0,1678.0,967.0,711.0,6791.0,710.0,188.0,,
VT,Vermont ,2008,954.0,234.0,115.0,119.0,720.0,19.0,13.0,,
WA,Washington ,2008,21954.0,3073.0,1974.0,1099.0,18881.0,1185.0,145.0,,
WI,Wisconsin ,2008,5449.0,687.0,480.0,207.0,4762.0,464.0,17.0,,
WV,West Virginia ,2008,2016.0,387.0,264.0,123.0,1629.0,98.0,6.0,,
WY,Wyoming ,2008,751.0,67.0,30.0,37.0,684.0,19.0,0.0,,
AK,Alaska ,2007,1642.0,278.0,221.0,57.0,1364.0,152.0,51.0,,
AL,Alabama,2007,5452.0,993.0,483.0,510.0,4459.0,745.0,229.0,,
AR,Arkansas ,2007,3836.0,852.0,409.0,443.0,2984.0,255.0,32.0,,
AZ,Arizona ,2007,14646.0,2804.0,650.0,2154.0,11842.0,858.0,11.0,,
CA,California ,2007,138986.0,40341.0,5950.0,34391.0,98645.0,5827.0,10874.0,,
CO,Colorado ,2007,14225.0,2050.0,404.0,1646.0,12175.0,931.0,610.0,,
CT,Connecticut ,2007,4482.0,1023.0,596.0,427.0,3459.0,330.0,106.0,,
DC,Washington DC,2007,5320.0,1760.0,1439.0,321.0,3560.0,487.0,37.0,,
DE,Delaware ,2007,1061.0,150.0,76.0,74.0,911.0,142.0,62.0,,
FL,Florida ,2007,48069.0,7463.0,1842.0,5621.0,40606.0,2658.0,3183.0,,
GA,Georgia ,2007,19639.0,2484.0,1108.0,1376.0,17155.0,1929.0,314.0,,
HI,Hawaii ,2007,6070.0,778.0,132.0,646.0,5292.0,223.0,0.0,,
IA,Iowa ,2007,2734.0,307.0,225.0,82.0,2427.0,155.0,7.0,,
ID,Idaho ,2007,1749.0,95.0,37.0,58.0,1654.0,34.0,68.0,,
IL,Illinois ,2007,15487.0,2681.0,1434.0,1247.0,12806.0,945.0,385.0,,
IN,Indiana ,2007,7358.0,694.0,450.0,244.0,6664.0,502.0,14.0,,
KS,Kansas ,2007,2111.0,159.0,117.0,42.0,1952.0,285.0,11.0,,
KY,Kentucky ,2007,8061.0,574.0,351.0,223.0,7487.0,407.0,75.0,,
LA,Louisiana ,2007,5494.0,562.0,226.0,336.0,4932.0,315.0,93.0,,
MA,Massachusetts ,2007,15127.0,2790.0,2056.0,734.0,12337.0,1217.0,35.0,,
MD,Maryland ,2007,9628.0,1550.0,749.0,801.0,8078.0,541.0,31.0,,
ME,Maine ,2007,2638.0,97.0,67.0,30.0,2541.0,117.0,2.0,,
MI,Michigan ,2007,28295.0,2716.0,927.0,1789.0,25579.0,749.0,127.0,,
MN,Minnesota ,2007,7323.0,1414.0,967.0,447.0,5909.0,443.0,108.0,,
MO,Missouri ,2007,6247.0,1221.0,917.0,304.0,5026.0,394.0,22.0,,
MS,Mississippi ,2007,1377.0,593.0,169.0,424.0,784.0,158.0,3.0,,
MT,Montana ,2007,1150.0,83.0,35.0,48.0,1067.0,83.0,60.0,,
NC,North Carolina ,2007,11802.0,1645.0,846.0,799.0,10157.0,827.0,165.0,,
ND,North Dakota ,2007,636.0,80.0,71.0,9.0,556.0,62.0,5.0,,
NE,Nebraska ,2007,3531.0,785.0,486.0,299.0,2746.0,151.0,14.0,,
NH,New Hampshire ,2007,2248.0,367.0,263.0,104.0,1881.0,60.0,51.0,,
NJ,New Jersey ,2007,17314.0,2525.0,1582.0,943.0,14789.0,499.0,119.0,,
NM,New Mexico ,2007,3015.0,711.0,245.0,466.0,2304.0,163.0,0.0,,
NV,Nevada ,2007,8642.0,871.0,191.0,680.0,7771.0,903.0,720.0,,
NY,New York ,2007,62601.0,6476.0,2413.0,4063.0,56125.0,4732.0,10.0,,
OH,Ohio ,2007,11264.0,2308.0,1601.0,707.0,8956.0,981.0,81.0,,
OK,Oklahoma ,2007,4221.0,779.0,395.0,384.0,3442.0,304.0,77.0,,
OR,Oregon ,2007,17590.0,2829.0,1087.0,1742.0,14761.0,571.0,134.0,,
PA,Pennsylvania ,2007,16220.0,1589.0,914.0,675.0,14631.0,1729.0,76.0,,
RI,Rhode Island ,2007,1372.0,134.0,90.0,44.0,1238.0,59.0,3.0,,
SC,South Carolina ,2007,5660.0,573.0,367.0,206.0,5087.0,350.0,85.0,,
SD,South Dakota ,2007,579.0,104.0,79.0,25.0,475.0,106.0,2.0,,
TN,Tennessee ,2007,11210.0,2767.0,896.0,1871.0,8443.0,859.0,169.0,,
TX,Texas ,2007,39788.0,7931.0,3290.0,4641.0,31857.0,3034.0,2493.0,,
UT,Utah ,2007,3011.0,801.0,488.0,313.0,2210.0,202.0,25.0,,
VA,Virginia ,2007,9746.0,1963.0,923.0,1040.0,7783.0,657.0,191.0,,
VT,Vermont ,2007,1035.0,191.0,60.0,131.0,844.0,38.0,26.0,,
WA,Washington ,2007,23379.0,2603.0,1333.0,1270.0,20776.0,1199.0,222.0,,
WI,Wisconsin ,2007,5648.0,689.0,468.0,221.0,4959.0,449.0,17.0,,
WV,West Virginia ,2007,2409.0,1151.0,1058.0,93.0,1258.0,760.0,27.0,,
WY,Wyoming ,2007,537.0,38.0,0.0,38.0,499.0,40.0,0.0,,
