state,year,population
Alabama,2010,4785579
Alaska,2010,714015
Arizona,2010,6407002
Arkansas,2010,2921737
California,2010,37327690
Colorado,2010,5048029
Connecticut,2010,3580171
Delaware,2010,899712
District of Columbia,2010,605040
Florida,2010,18846461
Georgia,2010,9712696
Hawaii,2010,1363817
Idaho,2010,1570912
Illinois,2010,12841196
Indiana,2010,6490029
Iowa,2010,3050223
Kansas,2010,2858403
Kentucky,2010,4347948
Louisiana,2010,4544871
Maine,2010,1327568
Maryland,2010,5788099
Massachusetts,2010,6564943
Michigan,2010,9876731
Minnesota,2010,5310711
Mississippi,2010,2970437
Missouri,2010,5995681
Montana,2010,990507
Nebraska,2010,1829956
Nevada,2010,2702797
New Hampshire,2010,1316700
New Jersey,2010,8803708
New Mexico,2010,2064607
New York,2010,19405185
North Carolina,2010,9574247
North Dakota,2010,674518
Ohio,2010,11539282
Oklahoma,2010,3759529
Oregon,2010,3837073
Pennsylvania,2010,12711063
Rhode Island,2010,1053169
South Carolina,2010,4635834
South Dakota,2010,816227
Tennessee,2010,6355882
Texas,2010,25241648
Utah,2010,2775260
Vermont,2010,625842
Virginia,2010,8025206
Washington,2010,6741386
West Virginia,2010,1854315
Wisconsin,2010,5690403
Wyoming,2010,564376
Alabama,2011,4798649
Alaska,2011,722259
Arizona,2011,6465488
Arkansas,2011,2938640
California,2011,37672654
Colorado,2011,5116411
Connecticut,2011,3591927
Delaware,2011,907884
District of Columbia,2011,620336
Florida,2011,19097369
Georgia,2011,9810595
Hawaii,2011,1378323
Idaho,2011,1583180
Illinois,2011,12862298
Indiana,2011,6515358
Iowa,2011,3063690
Kansas,2011,2868756
Kentucky,2011,4368505
Louisiana,2011,4574388
Maine,2011,1327968
Maryland,2011,5843115
Massachusetts,2011,6612178
Michigan,2011,9876199
Minnesota,2011,5345967
Mississippi,2011,2977452
Missouri,2011,6010280
Montana,2011,996866
Nebraska,2011,1841641
Nevada,2011,2718170
New Hampshire,2011,1318345
New Jersey,2011,8844694
New Mexico,2011,2077744
New York,2011,19526372
North Carolina,2011,9662940
North Dakota,2011,684830
Ohio,2011,11543332
Oklahoma,2011,3785232
Oregon,2011,3865845
Pennsylvania,2011,12742811
Rhode Island,2011,1052154
South Carolina,2011,4672744
South Dakota,2011,823338
Tennessee,2011,6396281
Texas,2011,25644424
Utah,2011,2815430
Vermont,2011,626210
Virginia,2011,8107548
Washington,2011,6819155
West Virginia,2011,1854891
Wisconsin,2011,5705812
Wyoming,2011,567602
Alabama,2012,4813946
Alaska,2012,730825
Arizona,2012,6544211
Arkansas,2012,2949208
California,2012,38019006
Colorado,2012,5186330
Connecticut,2012,3597705
Delaware,2012,916868
District of Columbia,2012,635630
Florida,2012,19341327
Georgia,2012,9911171
Hawaii,2012,1392772
Idaho,2012,1594673
Illinois,2012,12878494
Indiana,2012,6535665
Iowa,2012,3074386
Kansas,2012,2885316
Kentucky,2012,4383673
Louisiana,2012,4602681
Maine,2012,1328101
Maryland,2012,5891680
Massachusetts,2012,6659627
Michigan,2012,9886610
Minnesota,2012,5377695
Mississippi,2012,2982963
Missouri,2012,6023267
Montana,2012,1003522
Nebraska,2012,1854862
Nevada,2012,2752410
New Hampshire,2012,1320923
New Jersey,2012,8882095
New Mexico,2012,2083590
New York,2012,19625409
North Carolina,2012,9755299
North Dakota,2012,701380
Ohio,2012,11546969
Oklahoma,2012,3815298
Oregon,2012,3893920
Pennsylvania,2012,12768034
Rhode Island,2012,1052761
South Carolina,2012,4719009
South Dakota,2012,832576
Tennessee,2012,6450632
Texas,2012,26078327
Utah,2012,2854222
Vermont,2012,625606
Virginia,2012,8188656
Washington,2012,6890899
West Virginia,2012,1855360
Wisconsin,2012,5721075
Wyoming,2012,576608
Alabama,2013,4827660
Alaska,2013,736760
Arizona,2013,6616124
Arkansas,2013,2956780
California,2013,38347383
Colorado,2013,5262556
Connecticut,2013,3602470
Delaware,2013,925114
District of Columbia,2013,650114
Florida,2013,19584927
Georgia,2013,9981773
Hawaii,2013,1408038
Idaho,2013,1610187
Illinois,2013,12890403
Indiana,2013,6567484
Iowa,2013,3089876
Kansas,2013,2892900
Kentucky,2013,4399121
Louisiana,2013,4626795
Maine,2013,1327975
Maryland,2013,5932654
Massachusetts,2013,6711138
Michigan,2013,9899219
Minnesota,2013,5416074
Mississippi,2013,2987721
Missouri,2013,6041142
Montana,2013,1011921
Nebraska,2013,1867414
Nevada,2013,2786547
New Hampshire,2013,1322622
New Jersey,2013,8913735
New Mexico,2013,2085161
New York,2013,19712514
North Carolina,2013,9849812
North Dakota,2013,722908
Ohio,2013,11567845
Oklahoma,2013,3849840
Oregon,2013,3919664
Pennsylvania,2013,12778450
Rhode Island,2013,1052784
South Carolina,2013,4765862
South Dakota,2013,842513
Tennessee,2013,6490795
Texas,2013,26479279
Utah,2013,2899961
Vermont,2013,626044
Virginia,2013,8261689
Washington,2013,6963410
West Virginia,2013,1852333
Wisconsin,2013,5736673
Wyoming,2013,582341
Alabama,2014,4840037
Alaska,2014,736759
Arizona,2014,6706435
Arkansas,2014,2964800
California,2014,38701278
Colorado,2014,5342311
Connecticut,2014,3600188
Delaware,2014,934805
District of Columbia,2014,660797
Florida,2014,19897747
Georgia,2014,10083850
Hawaii,2014,1417710
Idaho,2014,1630391
Illinois,2014,12882438
Indiana,2014,6593182
Iowa,2014,3105563
Kansas,2014,2899553
Kentucky,2014,4410415
Louisiana,2014,4648797
Maine,2014,1328903
Maryland,2014,5970245
Massachusetts,2014,6757925
Michigan,2014,9914675
Minnesota,2014,5452649
Mississippi,2014,2988578
Missouri,2014,6058014
Montana,2014,1019931
Nebraska,2014,1880920
Nevada,2014,2831730
New Hampshire,2014,1328684
New Jersey,2014,8943010
New Mexico,2014,2083207
New York,2014,19773580
North Carolina,2014,9941160
North Dakota,2014,738658
Ohio,2014,11593741
Oklahoma,2014,3875008
Oregon,2014,3960673
Pennsylvania,2014,12790341
Rhode Island,2014,1054782
South Carolina,2014,4824758
South Dakota,2014,849455
Tennessee,2014,6540007
Texas,2014,26954436
Utah,2014,2938671
Vermont,2014,625665
Virginia,2014,8316902
Washington,2014,7046931
West Virginia,2014,1847624
Wisconsin,2014,5751272
Wyoming,2014,583334
Alabama,2015,4850858
Alaska,2015,737979
Arizona,2015,6802262
Arkansas,2015,2975626
California,2015,39032444
Colorado,2015,5440445
Connecticut,2015,3593862
Delaware,2015,944107
District of Columbia,2015,672736
Florida,2015,20268567
Georgia,2015,10199533
Hawaii,2015,1426320
Idaho,2015,1649324
Illinois,2015,12862051
Indiana,2015,6610596
Iowa,2015,3118473
Kansas,2015,2905789
Kentucky,2015,4422057
Louisiana,2015,4671211
Maine,2015,1327787
Maryland,2015,6000561
Massachusetts,2015,6794002
Michigan,2015,9918170
Minnesota,2015,5483238
Mississippi,2015,2985297
Missouri,2015,6072640
Montana,2015,1028317
Nebraska,2015,1893564
Nevada,2015,2883057
New Hampshire,2015,1330134
New Jersey,2015,8960001
New Mexico,2015,2082264
New York,2015,19819347
North Carolina,2015,10041769
North Dakota,2015,754859
Ohio,2015,11606027
Oklahoma,2015,3904353
Oregon,2015,4016537
Pennsylvania,2015,12791124
Rhode Island,2015,1055916
South Carolina,2015,4892423
South Dakota,2015,854036
Tennessee,2015,6590726
Texas,2015,27454880
Utah,2015,2984917
Vermont,2015,624455
Virginia,2015,8366767
Washington,2015,7152818
West Virginia,2015,1839767
Wisconsin,2015,5759744
Wyoming,2015,586102
Alabama,2016,4860545
Alaska,2016,741522
Arizona,2016,6908642
Arkansas,2016,2988231
California,2016,39296476
Colorado,2016,5530105
Connecticut,2016,3587685
Delaware,2016,952698
District of Columbia,2016,684336
Florida,2016,20656589
Georgia,2016,10313620
Hawaii,2016,1428683
Idaho,2016,1680026
Illinois,2016,12835726
Indiana,2016,6634007
Iowa,2016,3130869
Kansas,2016,2907731
Kentucky,2016,4436113
Louisiana,2016,4686157
Maine,2016,1330232
Maryland,2016,6024752
Massachusetts,2016,6823721
Michigan,2016,9933445
Minnesota,2016,5525050
Mississippi,2016,2985415
Missouri,2016,6091176
Montana,2016,1038656
Nebraska,2016,1907603
Nevada,2016,2939254
New Hampshire,2016,1335015
New Jersey,2016,8978416
New Mexico,2016,2085432
New York,2016,19836286
North Carolina,2016,10156689
North Dakota,2016,755548
Ohio,2016,11622554
Oklahoma,2016,3921207
Oregon,2016,4085989
Pennsylvania,2016,12787085
Rhode Island,2016,1057566
South Carolina,2016,4959822
South Dakota,2016,861542
Tennessee,2016,6649404
Texas,2016,27904862
Utah,2016,3044321
Vermont,2016,623354
Virginia,2016,8414380
Washington,2016,7280934
West Virginia,2016,1828637
Wisconsin,2016,5772917
Wyoming,2016,584910
Alabama,2017,4874747
Alaska,2017,739795
Arizona,2017,7016270
Arkansas,2017,3004279
California,2017,39536653
Colorado,2017,5607154
Connecticut,2017,3588184
Delaware,2017,961939
District of Columbia,2017,693972
Florida,2017,20984400
Georgia,2017,10429379
Hawaii,2017,1427538
Idaho,2017,1716943
Illinois,2017,12802023
Indiana,2017,6666818
Iowa,2017,3145711
Kansas,2017,2913123
Kentucky,2017,4454189
Louisiana,2017,4684333
Maine,2017,1335907
Maryland,2017,6052177
Massachusetts,2017,6859819
Michigan,2017,9962311
Minnesota,2017,5576606
Mississippi,2017,2984100
Missouri,2017,6113532
Montana,2017,1050493
Nebraska,2017,1920076
Nevada,2017,2998039
New Hampshire,2017,1342795
New Jersey,2017,9005644
New Mexico,2017,2088070
New York,2017,19849399
North Carolina,2017,10273419
North Dakota,2017,755393
Ohio,2017,11658609
Oklahoma,2017,3930864
Oregon,2017,4142776
Pennsylvania,2017,12805537
Rhode Island,2017,1059639
South Carolina,2017,5024369
South Dakota,2017,869666
Tennessee,2017,6715984
Texas,2017,28304596
Utah,2017,3101833
Vermont,2017,623657
Virginia,2017,8470020
Washington,2017,7405743
West Virginia,2017,1815857
Wisconsin,2017,5795483
Wyoming,2017,579315
