GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Alabama,4802740,3318110,8630,1281095,4637,24408,2242,54259,2260,1919,1208,58499,7039,64450,5189,5766,1769,58684,4826
Alaska,722718,482698,2741,23143,2072,102293,3803,37971,2083,7785,727,8599,1933,60229,4733,3382,1371,56847,4516
Arizona,6482505,5141027,23299,265940,7841,289812,5175,177297,6178,11941,1586,402195,21457,194293,11560,48953,6342,145340,10223
Arkansas,2937979,2296248,7497,463364,4287,16772,2398,34342,2594,7279,1910,62745,7426,57229,5642,5570,1652,51659,5206
California,37691912,23698393,65345,2253905,15479,289597,14245,4970627,17933,146894,5678,4738489,66403,1594007,33877,367859,18403,1226148,25786
Colorado,5116796,4318187,17394,203243,4916,51677,4851,143760,3834,5949,641,221207,15837,172773,9552,36014,4659,136759,7670
Connecticut,3580709,2787171,11468,359683,5702,7481,1778,141081,2409,1416,755,195293,10646,88584,5802,21150,3427,67434,4884
Delaware,907135,636680,4729,193899,2993,2794,895,29930,1168,22,29,19682,4485,24128,3358,2548,1242,21580,3200
District of Columbia,617996,246505,3665,309845,2181,1956,848,22510,968,0,200,24420,3654,12760,1744,1315,601,11445,1673
Florida,19057542,14535897,31466,3046628,20255,63416,6292,463164,8849,12545,3380,512411,27599,423481,20163,87418,9889,336063,17975
Georgia,9815210,5961961,19867,3021927,14079,24980,4510,322841,7505,5659,2702,287608,19454,190234,12372,26079,4788,164155,11433
Hawaii,1374810,343352,3503,26281,1452,3942,1158,523824,9782,128087,5294,17772,3259,331552,13187,9336,2687,322216,13960
Idaho,1584985,1465484,5687,8392,1656,20511,2685,20913,2460,1287,682,28938,5066,39460,4126,4935,1616,34525,3632
Illinois,12869259,9328438,27666,1867304,10690,25818,3305,599115,6487,1378,632,783647,28478,263559,12405,55819,6037,207740,11389
Indiana,6516922,5512023,8881,589109,7189,12817,1863,102695,4396,786,503,157123,10274,142369,7286,20049,3898,122320,6182
Iowa,3062309,2800812,4987,88258,3256,12009,1482,56040,2355,1010,428,43292,5237,60888,4827,6250,2007,54638,4214
Kansas,2871238,2442531,6705,167669,4848,23830,2669,67235,3040,1642,771,71792,6124,96539,6414,10330,2388,86209,5598
Kentucky,4369356,3837605,5487,348778,6594,9662,1761,50424,2713,729,449,41911,5188,80247,6532,6141,1663,74106,6415
Louisiana,4574836,2874839,6593,1469876,6384,28830,2237,72484,2804,3126,2331,48020,6386,77661,6414,9259,1992,68402,6003
Maine,1328188,1264494,1599,13598,1448,8148,1581,13498,1852,134,116,3249,1000,25067,2640,1140,606,23927,2547
Maryland,5828289,3414300,13228,1725923,6990,14530,1385,329770,4691,1924,1095,189897,13333,151945,8308,19794,3941,132151,7275
Massachusetts,6587536,5305948,12504,451127,7855,13160,2325,365968,4987,858,443,282417,13444,168058,11199,33692,4484,134366,10032
Michigan,9876187,7830903,9530,1388139,7863,54719,3625,242232,5033,2118,889,105245,7698,252831,9915,25908,3717,226923,9568
Minnesota,5344861,4577875,7618,279142,6224,60842,3167,216270,3768,763,342,74998,7403,134971,8828,10804,2087,124167,8111
Mississippi,2978512,1770546,4486,1115359,5473,11815,1722,27077,3206,108,122,19265,3669,34342,4658,4724,2092,29618,4244
Missouri,6010688,4991510,7231,688379,6563,22326,2594,96187,3149,5692,1498,61460,6179,145134,7914,12836,2613,132298,7311
Montana,998199,891294,2197,4305,1404,66644,3337,5714,1173,968,838,5149,1668,24125,2788,803,554,23322,2731
Nebraska,1842641,1624885,5966,83693,3632,17985,1896,34517,1779,693,303,40493,4982,40375,3846,6545,2137,33830,3756
Nevada,2723322,1948463,15765,222551,5616,32805,3070,194695,6015,16360,1595,202603,14069,105845,10551,13132,2937,92713,10076
New Hampshire,1318194,1240868,2868,14655,1344,2154,701,29002,2149,117,129,8756,2720,22642,2360,1761,803,20881,2301
New Jersey,8821155,6104543,20959,1182905,11416,21103,3871,747620,6615,3365,1571,544803,20644,216816,12912,56275,5151,160541,11429
New Mexico,2082224,1492790,15175,44365,3969,190825,4587,25637,1939,1171,614,263221,13689,64215,5875,22519,3662,41696,4712
New York,19465197,12710382,29843,3036099,16183,67731,4685,1447760,9725,5562,2536,1670880,32891,526783,16971,161456,12351,365327,12488
North Carolina,9656401,6768523,16949,2091558,11959,111633,4192,211328,5649,4132,986,264372,16180,204855,14449,27403,5287,177452,13500
North Dakota,683932,614327,1430,6857,1255,38515,1701,7070,1051,147,158,4362,1325,12654,1852,473,280,12181,1858
Ohio,11544951,9566847,8300,1396483,10548,19589,2047,194814,5015,1981,808,99138,7672,266099,11306,18248,3181,247851,10729
Oklahoma,3791508,2792094,7616,275392,4430,260733,7642,65513,3141,5393,1210,90736,6574,301647,9225,14276,2296,287371,8863
Oregon,3871859,3279357,12288,70067,2807,52026,4557,152909,4397,15100,2454,167719,11405,134681,7065,16578,3768,118103,5730
Pennsylvania,12742886,10485910,11661,1372685,12132,17315,2084,358168,4389,2009,811,259538,11861,247261,11270,32372,3830,214889,11309
Rhode Island,1051302,859000,5950,63397,3762,4370,1273,33235,1460,188,215,62356,6489,28756,4167,6847,1857,21909,3436
South Carolina,4679230,3135216,8956,1305093,7192,13244,1991,63356,2782,2042,1524,75888,8400,84391,7046,8289,2501,76102,6431
South Dakota,824082,707944,2394,9517,1203,71532,2373,7855,869,63,71,7031,1805,20140,2746,984,638,19156,2621
Tennessee,6403353,4990068,8309,1071463,6624,18732,3475,92286,4046,2299,1197,107031,8493,121474,7801,12083,2887,109391,7275
Texas,25674681,19149157,45618,3011795,13895,128773,11133,999118,10194,18726,4172,1770210,43137,596902,18892,155873,12345,441029,16945
Utah,2817222,2486869,10393,32524,3943,31795,3102,56679,3028,27209,2416,112788,10140,69358,6379,12369,3121,56989,4947
Vermont,626431,596253,999,5194,937,2140,607,7733,983,245,186,1227,792,13639,1462,764,455,12875,1435
Virginia,8096604,5615742,14273,1581452,10391,24374,3459,455242,7971,5084,1580,173964,12649,240746,14173,27514,5814,213232,14159
Washington,6830038,5357161,15858,239665,6363,91703,5026,501712,7684,40300,2479,278678,16551,320819,12964,31919,5323,288900,12029
West Virginia,1855364,1741915,2269,56178,2868,2834,1024,11492,1378,126,128,4452,1701,38367,2797,1436,712,36931,2663
Wisconsin,5711767,4980495,8349,356550,4844,48065,2516,130617,3336,1485,695,77758,7682,116797,6125,14003,2386,102794,5634
Wyoming,568158,515335,2893,5079,937,12241,1370,4833,1100,201,169,14829,2941,15640,2461,2057,752,13583,2398
