State,Year,Number of CoCs,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Homeless People in Families,Unsheltered Homeless People in Families,Chronically Homeless,Sheltered Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Homeless Veterans,Unsheltered Homeless Veterans,Homeless Unaccompanied Youth (Under 25),Sheltered Homeless Unaccompanied Youth (Under 25),Unsheltered Homeless Unaccompanied Youth (Under 25),Homeless Unaccompanied Children (Under 18),Sheltered Homeless Unaccompanied Children (Under 18),Unsheltered Homeless Unaccompanied Children (Under 18),Homeless Unaccompanied Young Adults (Age 18-24),Sheltered Homeless Unaccompanied Young Adults (Age 18-24),Unsheltered Homeless Unaccompanied Young Adults (Age 18-24),Parenting Youth (Under 25),Sheltered Parenting Youth (Under 25),Unsheltered Parenting Youth (Under 25),Parenting Youth Under 18,Sheltered Parenting Youth Under 18,Unsheltered Parenting Youth Under 18,Parenting Youth Age 18-24,Sheltered Parenting Youth Age 18-24,Unsheltered Parenting Youth Age 18-24,Children of Parenting Youth,Sheltered Children of Parenting Youth,Unsheltered Children of Parenting Youth
NY,2016,26,"86,352","82,761","3,591","35,315","31,793","3,522","51,037","50,968",69,"5,368","3,299","2,069","4,112","2,063","2,049","1,256","1,236",20,"1,248","1,156",92,"2,889","2,641",248,188,165,23,"2,701","2,476",225,"2,724","2,718",6,11,11,0,"2,713","2,707",6,"3,311","3,304",7
OH,2016,9,"10,404","9,266","1,138","6,946","5,890","1,056","3,458","3,376",82,778,439,339,733,403,330,45,36,9,930,845,85,622,557,65,46,44,2,576,513,63,225,219,6,5,5,0,220,214,6,340,332,8
OK,2016,8,"4,107","3,087","1,020","2,997","2,120",877,"1,110",967,143,696,405,291,610,329,281,86,76,10,358,260,98,410,266,144,39,35,4,371,231,140,50,41,9,0,0,0,50,41,9,70,60,10
OR,2016,7,"13,238","5,236","8,002","9,379","3,658","5,721","3,859","1,578","2,281","3,460",554,"2,906","3,077",506,"2,571",383,48,335,"1,341",603,738,"1,175",418,757,236,58,178,939,360,579,133,92,41,0,0,0,133,92,41,169,119,50
PA,2016,16,"15,339","13,664","1,675","8,599","7,080","1,519","6,740","6,584",156,"1,325",787,538,"1,209",673,536,116,114,2,"1,136","1,088",48,868,736,132,63,45,18,805,691,114,549,542,7,4,4,0,545,538,7,779,771,8
PR,2016,2,"4,418","1,321","3,097","3,799",899,"2,900",619,422,197,"1,772",211,"1,561","1,623",203,"1,420",149,8,141,146,37,109,163,52,111,6,4,2,157,48,109,31,27,4,0,0,0,31,27,4,43,35,8
RI,2016,1,"1,160","1,123",37,859,822,37,301,301,0,144,141,3,136,133,3,8,8,0,89,89,0,64,63,1,0,0,0,64,63,1,21,21,0,0,0,0,21,21,0,31,31,0
SC,2016,4,"5,051","3,361","1,690","3,758","2,340","1,418","1,293","1,021",272,988,448,540,913,395,518,75,53,22,738,452,286,266,151,115,20,14,6,246,137,109,48,44,4,2,2,0,46,42,4,76,72,4
SD,2016,1,"1,072",887,185,548,446,102,524,441,83,44,37,7,34,30,4,10,7,3,120,109,11,77,69,8,9,9,0,68,60,8,19,16,3,1,1,0,18,15,3,25,21,4
TN,2016,10,"8,779","5,773","3,006","6,652","4,202","2,450","2,127","1,571",556,"1,782",694,"1,088","1,640",613,"1,027",142,81,61,831,654,177,416,249,167,26,22,4,390,227,163,107,74,33,0,0,0,107,74,33,147,108,39
TX,2016,11,"23,122","16,214","6,908","15,959","9,315","6,644","7,163","6,899",264,"3,689","1,637","2,052","3,534","1,500","2,034",155,137,18,"1,768","1,285",483,"1,309",764,545,187,123,64,"1,122",641,481,309,303,6,5,5,0,304,298,6,465,452,13
UT,2016,3,"2,807","2,571",236,"1,828","1,612",216,979,959,20,190,180,10,168,158,10,22,22,0,335,311,24,150,132,18,18,17,1,132,115,17,17,17,0,0,0,0,17,17,0,30,30,0
VA,2016,16,"6,268","5,502",766,"3,959","3,245",714,"2,309","2,257",52,793,568,225,750,525,225,43,43,0,515,439,76,322,278,44,12,12,0,310,266,44,102,98,4,1,1,0,101,97,4,146,142,4
VI,2016,1,341,89,252,308,56,252,33,33,0,26,8,18,26,8,18,0,0,0,32,2,30,8,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
VT,2016,2,"1,117",961,156,655,516,139,462,445,17,127,81,46,120,74,46,7,7,0,110,97,13,71,62,9,1,1,0,70,61,9,46,43,3,0,0,0,46,43,3,49,46,3
WA,2016,7,"20,827","12,361","8,466","13,900","6,389","7,511","6,927","5,972",955,"2,567",981,"1,586","2,307",825,"1,482",260,156,104,"1,484",999,485,"1,307",714,593,92,77,15,"1,215",637,578,295,279,16,6,6,0,289,273,16,455,434,21
WI,2016,4,"5,685","5,275",410,"2,886","2,495",391,"2,799","2,780",19,363,296,67,276,209,67,87,87,0,415,392,23,337,273,64,25,20,5,312,253,59,188,188,0,0,0,0,188,188,0,267,267,0
WV,2016,4,"1,387","1,252",135,"1,039",904,135,348,348,0,165,117,48,161,113,48,4,4,0,143,126,17,95,83,12,6,5,1,89,78,11,19,19,0,0,0,0,19,19,0,35,35,0
WY,2016,1,857,491,366,517,277,240,340,214,126,91,33,58,80,29,51,11,4,7,87,56,31,31,24,7,3,1,2,28,23,5,15,12,3,0,0,0,15,12,3,17,14,3
AK,2015,2,"1,956","1,639",317,"1,342","1,084",258,614,555,59,222,81,141,182,70,112,40,11,29,180,149,31,155,123,32,24,18,6,131,105,26,18,18,0,0,0,0,18,18,0,21,21,0
AL,2015,8,"3,970","2,943","1,027","2,868","2,076",792,"1,102",867,235,607,168,439,557,157,400,50,11,39,474,399,75,228,168,60,32,27,5,196,141,55,25,21,4,5,5,0,20,16,4,35,29,6
AR,2015,7,"2,560","1,678",882,"1,833","1,089",744,727,589,138,623,319,304,524,234,290,99,85,14,456,385,71,188,95,93,0,0,0,188,95,93,22,22,0,0,0,0,22,22,0,20,20,0
AZ,2015,3,"9,896","6,939","2,957","6,548","3,824","2,724","3,348","3,115",233,"1,366",344,"1,022","1,246",297,949,120,47,73,"1,220",672,548,621,450,171,83,79,4,538,371,167,166,156,10,6,6,0,160,150,10,194,185,9
CA,2015,43,"115,738","42,039","73,699","93,156","24,843","68,313","22,582","17,196","5,386","32,227","5,077","27,150","29,178","4,169","25,009","3,049",908,"2,141","11,311","4,309","7,002","10,416","2,464","7,952",892,260,632,"9,524","2,204","7,320",854,770,84,11,11,0,843,759,84,"1,160","1,039",121
CO,2015,3,"9,953","7,134","2,819","5,729","3,739","1,990","4,224","3,395",829,"1,877",882,995,"1,572",754,818,305,128,177,950,644,306,566,360,206,82,74,8,484,286,198,171,146,25,1,0,1,170,146,24,226,197,29
CT,2015,3,"4,047","3,421",626,"2,719","2,124",595,"1,328","1,297",31,583,278,305,538,240,298,45,38,7,282,241,41,124,92,32,11,11,0,113,81,32,43,41,2,0,0,0,43,41,2,65,63,2
DC,2015,1,"7,298","6,754",544,"3,821","3,277",544,"3,477","3,477",0,"1,790","1,470",320,"1,593","1,273",320,197,197,0,408,366,42,200,183,17,7,7,0,193,176,17,366,366,0,0,0,0,366,366,0,544,544,0
DE,2015,1,953,916,37,602,565,37,351,351,0,80,75,5,64,59,5,16,16,0,79,74,5,57,56,1,3,3,0,54,53,1,21,21,0,0,0,0,21,21,0,41,41,0
FL,2015,27,"35,900","18,883","17,017","26,325","12,033","14,292","9,575","6,850","2,725","6,540","1,383","5,157","6,021","1,210","4,811",519,173,346,"3,926","2,372","1,554","2,371","1,207","1,164",593,321,272,"1,778",886,892,315,278,37,10,10,0,305,268,37,449,397,52
GA,2015,9,"13,790","7,987","5,803","9,702","4,783","4,919","4,088","3,204",884,"2,137",622,"1,515","1,994",568,"1,426",143,54,89,"1,548",866,682,575,292,283,15,11,4,560,281,279,51,45,6,0,0,0,51,45,6,98,79,19
GU,2015,1,"1,280",87,"1,193",306,23,283,974,64,910,153,0,153,27,0,27,126,0,126,23,1,22,7,1,6,1,1,0,6,0,6,12,0,12,0,0,0,12,0,12,10,0,10
HI,2015,2,"7,620","3,777","3,843","4,307","1,243","3,064","3,313","2,534",779,"1,534",180,"1,354","1,372",153,"1,219",162,27,135,692,275,417,303,76,227,24,8,16,279,68,211,95,70,25,1,0,1,94,70,24,93,71,22
IA,2015,3,"3,081","2,878",203,"1,501","1,302",199,"1,580","1,576",4,275,221,54,201,147,54,74,74,0,207,175,32,179,176,3,7,7,0,172,169,3,124,124,0,4,4,0,120,120,0,139,139,0
ID,2015,2,"1,966","1,497",469,"1,172",832,340,794,665,129,245,112,133,164,84,80,81,28,53,249,174,75,129,91,38,4,3,1,125,88,37,22,19,3,0,0,0,22,19,3,31,29,2
IL,2015,20,"13,177","10,463","2,714","8,152","5,599","2,553","5,025","4,864",161,"1,912",994,918,"1,799",892,907,113,102,11,"1,226",769,457,832,680,152,38,33,5,794,647,147,351,345,6,2,2,0,349,343,6,522,514,8
IN,2015,3,"5,863","5,280",583,"3,914","3,353",561,"1,949","1,927",22,703,529,174,608,450,158,95,79,16,790,726,64,373,333,40,36,36,0,337,297,40,103,102,1,3,3,0,100,99,1,149,147,2
KS,2015,5,"2,588","2,283",305,"1,466","1,191",275,"1,122","1,092",30,379,245,134,339,214,125,40,31,9,311,276,35,89,72,17,3,3,0,86,69,17,28,27,1,0,0,0,28,27,1,31,30,1
KY,2015,3,"4,538","3,796",742,"3,151","2,622",529,"1,387","1,174",213,457,413,44,383,345,38,74,68,6,591,541,50,248,194,54,27,27,0,221,167,54,75,64,11,0,0,0,75,64,11,99,90,9
LA,2015,9,"4,081","2,890","1,191","3,217","2,053","1,164",864,837,27,773,287,486,735,255,480,38,32,6,392,350,42,389,233,156,30,27,3,359,206,153,61,61,0,0,0,0,61,61,0,105,105,0
MA,2015,16,"21,135","20,542",593,"6,378","5,814",564,"14,757","14,728",29,"2,561","2,320",241,"1,411","1,170",241,"1,150","1,150",0,"1,133","1,101",32,415,384,31,5,4,1,410,380,30,839,839,0,10,10,0,829,829,0,"1,070","1,070",0
MD,2015,16,"8,390","6,594","1,796","5,383","3,987","1,396","3,007","2,607",400,"1,847","1,016",831,"1,634",923,711,213,93,120,714,586,128,481,327,154,54,22,32,427,305,122,138,126,12,0,0,0,138,126,12,217,204,13
ME,2015,2,"2,372","2,313",59,"1,219","1,170",49,"1,153","1,143",10,217,203,14,193,179,14,24,24,0,151,142,9,146,145,1,18,18,0,128,127,1,56,55,1,0,0,0,56,55,1,67,65,2
MI,2015,21,"10,516","9,444","1,072","6,546","5,553",993,"3,970","3,891",79,935,621,314,830,519,311,105,102,3,"1,067",991,76,975,880,95,160,153,7,815,727,88,262,260,2,0,0,0,262,260,2,400,396,4
MN,2015,10,"7,546","6,705",841,"3,622","2,987",635,"3,924","3,718",206,"1,396","1,054",342,"1,124",833,291,272,221,51,297,253,44,733,639,94,131,113,18,602,526,76,276,260,16,13,12,1,263,248,15,373,352,21
MO,2015,8,"6,482","5,411","1,071","3,434","2,640",794,"3,048","2,771",277,"1,025",652,373,875,536,339,150,116,34,540,430,110,474,393,81,101,83,18,373,310,63,109,104,5,7,7,0,102,97,5,173,165,8
MP,2015,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,2015,3,"1,983","1,141",842,"1,475",693,782,508,448,60,243,67,176,233,67,166,10,0,10,206,87,119,93,55,38,25,25,0,68,30,38,9,7,2,0,0,0,9,7,2,21,13,8
MT,2015,1,"1,709",837,872,"1,127",478,649,582,359,223,166,26,140,154,23,131,12,3,9,277,98,179,171,41,130,13,6,7,158,35,123,41,26,15,9,7,2,32,19,13,55,31,24
NC,2015,12,"10,685","8,260","2,425","7,156","5,372","1,784","3,529","2,888",641,"1,364",682,682,"1,253",605,648,111,77,34,"1,092",904,188,631,468,163,79,63,16,552,405,147,115,90,25,2,2,0,113,88,25,159,130,29
ND,2015,1,"1,305",819,486,864,591,273,441,228,213,138,68,70,70,52,18,68,16,52,137,90,47,142,113,29,18,18,0,124,95,29,11,11,0,0,0,0,11,11,0,17,17,0
NE,2015,3,"2,744","2,621",123,"1,720","1,597",123,"1,024","1,024",0,322,266,56,257,201,56,65,65,0,247,231,16,238,220,18,29,29,0,209,191,18,47,47,0,0,0,0,47,47,0,69,69,0
NH,2015,3,"1,445","1,313",132,778,666,112,667,647,20,317,260,57,257,205,52,60,55,5,138,124,14,91,82,9,6,5,1,85,77,8,35,35,0,0,0,0,35,35,0,40,40,0
NJ,2015,16,"10,098","9,124",974,"6,189","5,293",896,"3,909","3,831",78,"1,410",972,438,"1,182",752,430,228,220,8,696,616,80,643,587,56,47,47,0,596,540,56,369,367,2,0,0,0,369,367,2,492,487,5
NM,2015,2,"2,629","2,175",454,"1,666","1,237",429,963,938,25,716,445,271,621,360,261,95,85,10,278,214,64,193,168,25,54,53,1,139,115,24,33,33,0,0,0,0,33,33,0,52,52,0
NV,2015,3,"8,743","4,528","4,215","7,858","3,646","4,212",885,882,3,594,117,477,585,108,477,9,9,0,860,516,344,"2,310",288,"2,022",825,9,816,"1,485",279,"1,206",48,48,0,5,5,0,43,43,0,74,74,0
NY,2015,27,"88,250","84,228","4,022","36,135","32,172","3,963","52,115","52,056",59,"7,116","4,733","2,383","4,327","1,982","2,345","2,789","2,751",38,"2,399","2,268",131,"2,626","2,367",259,133,128,5,"2,493","2,239",254,"2,470","2,463",7,10,9,1,"2,460","2,454",6,"3,013","3,006",7
OH,2015,9,"11,182","10,083","1,099","7,565","6,590",975,"3,617","3,493",124,"1,275",887,388,"1,160",782,378,115,105,10,"1,183","1,073",110,770,665,105,49,47,2,721,618,103,237,236,1,3,3,0,234,233,1,355,352,3
OK,2015,8,"3,777","2,999",778,"2,781","2,111",670,996,888,108,581,342,239,508,289,219,73,53,20,351,253,98,460,315,145,84,40,44,376,275,101,50,48,2,0,0,0,50,48,2,92,91,1
OR,2015,7,"13,226","5,831","7,395","9,461","4,048","5,413","3,765","1,783","1,982","4,011","1,008","3,003","3,521",921,"2,600",490,87,403,"1,464",769,695,"1,350",448,902,388,62,326,962,386,576,135,88,47,0,0,0,135,88,47,155,101,54
PA,2015,16,"15,421","13,993","1,428","8,605","7,276","1,329","6,816","6,717",99,"1,590","1,040",550,"1,442",909,533,148,131,17,"1,375","1,295",80,871,745,126,37,28,9,834,717,117,573,573,0,4,4,0,569,569,0,792,792,0
PR,2015,2,"4,518","1,421","3,097","3,929","1,029","2,900",589,392,197,"1,756",195,"1,561","1,615",195,"1,420",141,0,141,164,55,109,173,62,111,13,11,2,160,51,109,35,31,4,0,0,0,35,31,4,57,49,8
RI,2015,1,"1,111","1,075",36,706,673,33,405,402,3,130,118,12,110,100,10,20,18,2,107,105,2,47,39,8,4,4,0,43,35,8,35,35,0,0,0,0,35,35,0,44,44,0
SC,2015,4,"5,354","3,458","1,896","3,934","2,465","1,469","1,420",993,427,"1,020",525,495,916,456,460,104,69,35,681,470,211,195,126,69,13,12,1,182,114,68,63,59,4,1,0,1,62,59,3,95,87,8
SD,2015,1,"1,036",900,136,630,506,124,406,394,12,95,67,28,85,59,26,10,8,2,177,170,7,108,83,25,8,8,0,100,75,25,29,29,0,0,0,0,29,29,0,36,36,0
TN,2015,10,"9,123","5,879","3,244","6,516","4,075","2,441","2,607","1,804",803,"1,650",702,948,"1,492",648,844,158,54,104,945,756,189,673,454,219,14,3,11,659,451,208,65,36,29,0,0,0,65,36,29,94,49,45
TX,2015,11,"23,678","16,192","7,486","16,265","9,234","7,031","7,413","6,958",455,"4,304","1,915","2,389","3,778","1,543","2,235",526,372,154,"2,393","1,490",903,"1,416",797,619,218,185,33,"1,198",612,586,161,158,3,3,3,0,158,155,3,252,244,8
UT,2015,3,"3,025","2,799",226,"1,809","1,605",204,"1,216","1,194",22,233,215,18,178,165,13,55,50,5,337,313,24,132,106,26,11,11,0,121,95,26,34,34,0,0,0,0,34,34,0,40,40,0
VA,2015,16,"7,001","6,190",811,"4,190","3,434",756,"2,811","2,756",55,"1,158",789,369,"1,041",702,339,117,87,30,604,513,91,330,288,42,12,12,0,318,276,42,129,127,2,0,0,0,129,127,2,187,186,1
VI,2015,1,337,85,252,308,56,252,29,29,0,22,4,18,22,4,18,0,0,0,34,4,30,12,4,8,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
VT,2015,2,"1,523","1,373",150,910,775,135,613,598,15,166,111,55,139,84,55,27,27,0,119,113,6,101,87,14,4,3,1,97,84,13,34,34,0,1,1,0,33,33,0,35,35,0
WA,2015,7,"19,419","12,298","7,121","12,526","6,200","6,326","6,893","6,098",795,"2,482","1,027","1,455","2,261",908,"1,353",221,119,102,"1,293",886,407,"1,341",700,641,154,91,63,"1,187",609,578,310,296,14,12,11,1,298,285,13,351,342,9
WI,2015,4,"6,057","5,615",442,"2,992","2,647",345,"3,065","2,968",97,464,377,87,361,277,84,103,100,3,534,515,19,334,287,47,33,25,8,301,262,39,195,184,11,0,0,0,195,184,11,284,270,14
WV,2015,4,"1,835","1,403",432,"1,414","1,049",365,421,354,67,386,226,160,352,192,160,34,34,0,305,227,78,145,103,42,11,11,0,134,92,42,23,16,7,3,3,0,20,13,7,29,21,8
WY,2015,1,798,507,291,500,292,208,298,215,83,102,37,65,86,35,51,16,2,14,112,83,29,37,26,11,4,2,2,33,24,9,12,11,1,0,0,0,12,11,1,20,19,1
AK,2014,2,"1,784","1,639",145,"1,209","1,109",100,575,530,45,206,137,69,182,119,63,24,18,6,178,160,18,,,,,,,,,,,,,,,,,,,,,
AL,2014,8,"4,561","3,518","1,043","3,115","2,373",742,"1,446","1,145",301,729,283,446,618,245,373,111,38,73,542,450,92,,,,,,,,,,,,,,,,,,,,,
AR,2014,6,"2,936","1,503","1,433","2,303","1,070","1,233",633,433,200,519,85,434,516,82,434,3,3,0,361,220,141,,,,,,,,,,,,,,,,,,,,,
AZ,2014,3,"10,495","7,926","2,569","6,194","3,851","2,343","4,301","4,075",226,959,316,643,904,303,601,55,13,42,858,635,223,,,,,,,,,,,,,,,,,,,,,
CA,2014,40,"113,952","42,515","71,437","90,765","24,857","65,908","23,187","17,658","5,529","31,078","5,131","25,947","28,200","4,417","23,783","2,878",714,"2,164","12,096","4,457","7,639",,,,,,,,,,,,,,,,,,,,,
CO,2014,3,"10,028","8,083","1,945","5,573","4,035","1,538","4,455","4,048",407,"1,621",747,874,"1,335",635,700,286,112,174,753,528,225,,,,,,,,,,,,,,,,,,,,,
CT,2014,6,"4,450","3,531",919,"3,069","2,243",826,"1,381","1,288",93,"1,215",847,368,"1,026",696,330,189,151,38,295,221,74,,,,,,,,,,,,,,,,,,,,,
DC,2014,1,"7,748","7,352",396,"3,953","3,557",396,"3,795","3,795",0,"2,029","1,694",335,"1,609","1,274",335,420,420,0,406,375,31,,,,,,,,,,,,,,,,,,,,,
DE,2014,1,901,864,37,584,554,30,317,310,7,91,82,9,88,79,9,3,3,0,93,89,4,,,,,,,,,,,,,,,,,,,,,
FL,2014,28,"41,542","19,851","21,691","28,730","12,886","15,844","12,812","6,965","5,847","7,989","1,903","6,086","6,843","1,717","5,126","1,146",186,960,"4,552","2,424","2,128",,,,,,,,,,,,,,,,,,,,,
GA,2014,9,"16,521","8,214","8,307","12,403","4,932","7,471","4,118","3,282",836,"3,004",945,"2,059","2,645",862,"1,783",359,83,276,"1,443",647,796,,,,,,,,,,,,,,,,,,,,,
GU,2014,1,"1,356",126,"1,230",332,37,295,"1,024",89,935,67,0,67,24,0,24,43,0,43,36,6,30,,,,,,,,,,,,,,,,,,,,,
HI,2014,2,"6,918","3,813","3,105","3,750","1,164","2,586","3,168","2,649",519,"1,301",199,"1,102","1,109",145,964,192,54,138,593,247,346,,,,,,,,,,,,,,,,,,,,,
IA,2014,3,"3,122","2,926",196,"1,544","1,368",176,"1,578","1,558",20,244,154,90,211,121,90,33,33,0,202,177,25,,,,,,,,,,,,,,,,,,,,,
ID,2014,2,"2,104","1,468",636,"1,234",848,386,870,620,250,244,105,139,156,69,87,88,36,52,215,135,80,,,,,,,,,,,,,,,,,,,,,
IL,2014,20,"13,107","11,409","1,698","7,350","5,793","1,557","5,757","5,616",141,"1,488","1,010",478,"1,349",891,458,139,119,20,"1,234",913,321,,,,,,,,,,,,,,,,,,,,,
IN,2014,3,"5,971","5,568",403,"3,953","3,560",393,"2,018","2,008",10,596,485,111,542,433,109,54,52,2,725,687,38,,,,,,,,,,,,,,,,,,,,,
KS*,2014,5,"2,783","2,534",249,"1,533","1,295",238,"1,250","1,239",11,320,212,108,290,184,106,30,28,2,393,356,37,,,,,,,,,,,,,,,,,,,,,
KY,2014,3,"5,089","4,258",831,"3,352","2,805",547,"1,737","1,453",284,727,499,228,614,424,190,113,75,38,600,558,42,,,,,,,,,,,,,,,,,,,,,
LA,2014,9,"4,606","3,503","1,103","3,444","2,364","1,080","1,162","1,139",23,776,262,514,743,232,511,33,30,3,437,332,105,,,,,,,,,,,,,,,,,,,,,
MA,2014,18,"21,237","20,478",759,"6,788","6,041",747,"14,449","14,437",12,"3,311","3,006",305,"1,590","1,285",305,"1,721","1,721",0,"1,264","1,234",30,,,,,,,,,,,,,,,,,,,,,
MD,2014,16,"7,856","6,267","1,589","4,980","3,872","1,108","2,876","2,395",481,"1,740","1,135",605,"1,515",997,518,225,138,87,654,555,99,,,,,,,,,,,,,,,,,,,,,
ME,2014,2,"2,726","2,633",93,"1,348","1,282",66,"1,378","1,351",27,244,218,26,218,200,18,26,18,8,152,138,14,,,,,,,,,,,,,,,,,,,,,
MI,2014,21,"12,227","10,075","2,152","7,535","5,916","1,619","4,692","4,159",533,"1,293",825,468,"1,160",745,415,133,80,53,"1,122",994,128,,,,,,,,,,,,,,,,,,,,,
MN,2014,10,"8,377","7,582",795,"3,652","3,006",646,"4,725","4,576",149,"1,235",889,346,885,562,323,350,327,23,317,263,54,,,,,,,,,,,,,,,,,,,,,
MO,2014,8,"7,282","6,309",973,"4,307","3,651",656,"2,975","2,658",317,997,714,283,735,469,266,262,245,17,652,563,89,,,,,,,,,,,,,,,,,,,,,
MP,2014,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,
MS,2014,3,"2,226","1,405",821,"1,714",933,781,512,472,40,282,79,203,275,74,201,7,5,2,279,221,58,,,,,,,,,,,,,,,,,,,,,
MT,2014,1,"1,745",911,834,"1,167",493,674,578,418,160,270,77,193,256,71,185,14,6,8,256,94,162,,,,,,,,,,,,,,,,,,,,,
NC,2014,12,"11,491","8,874","2,617","7,498","5,738","1,760","3,993","3,136",857,"1,431",720,711,"1,284",639,645,147,81,66,"1,164",982,182,,,,,,,,,,,,,,,,,,,,,
ND,2014,1,"1,258",794,464,886,526,360,372,268,104,115,101,14,111,97,14,4,4,0,151,117,34,,,,,,,,,,,,,,,,,,,,,
NE,2014,3,"3,026","2,917",109,"1,893","1,788",105,"1,133","1,129",4,426,397,29,365,336,29,61,61,0,241,224,17,,,,,,,,,,,,,,,,,,,,,
